Merek,Seri,Case,Switch,Koneksi,Harga
VortexSeries,Xera87,Plastic,Linear,Wireless,529000
Ajazz,AK820Pro,Plastic,Linear,Wireless,899000
Fantech,Maxfit81,Plastic,Tactile,Wireless,1199000
Fantech,Maxfit61,Aluminium,Linear,Wireless,599000
Fantech,Atom98,Plastic,Clicky,Wired,259000
Fantech,MK853,Aluminium,Clicky,Wired,469000
DigitalAlliance,Mecha8s,Plastic,Linear,Wired,289000
VortexSeries,GT65Lite,Plastic,Linear,Wired,579000
Leobog,Hi75,Aluminium,Tactile,Wired,899000
Sades,Kunai,Plastic,Linear,Wireless,649000
PressPlay,Rover84,Plastic,Tactile,Wireless,1299000
Noir,Z1,Aluminium,Tactile,Wireless,2199000
Keychron,K2,Aluminium,Tactile,Wireless,159000
Razer,BlackWidowElite,Plastic,Clicky,Wired,2199000
SteelSeries,Apex7,Aluminium,Tactile,Wired,2199000
SteelSeries,ApexPro,Aluminium,Tactile,Wired,3149000
Redragon,K552,Plastic,Clicky,Wired,479000
CoolerMaster,CK550,Plastic,Clicky,Wired,429000
Ajazz,AK820Pro,Plastic,Linear,Wireless,899000
Rexus,DaxaM82x,Plastic,Tactile,Wireless,1499000
Rexus,Daiva68,Plastic,Clicky,Wired,499000
Gamen,TitanElite,Plastic,Linear,Wired,239000
Langtu,GK65,Plastic,Linear,Wireless,459000
Langtu,LT84,Plastic,Linear,Wired,569000
Zifriend,ZA68,Plastic,Linear,Wireless,549000
Asus,Azoth75,Aluminium,Tactile,Wireless,3999000
MSI,VigorGK71,Plastic,Linear,Wired,1699000
Razer,HuntsmanV3Pro,Aluminium,Linear,Wired,4399000
Razer,DeathadderV3,Plastic,Linear,Wired,1999000
Corsair,K70Pro,Plastic,Linear,Wireless,2749000
VortexSeries,VX8,Plastic,Tactile,Wired,930000
Keychron,Q65,Aluminium,Tactile,Wireless,4299000
Keychron,Q1,Aluminium,Linear,Wireless,3499000
RoyalKludge,R75,Plastic,Linear,Wired,649000
Zuoya,GMK76,Plastic,Tactile,Wireless,1799000
Cidoo,V65,Aluminium,Tactile,Wireless,1499000
Noir,Timeless82,Aluminium,Linear,Wireless,1299000
Zuoya,GMK67,Aluminium,Linear,Wired,679000
Reddragon,K617,Plastic,Linear,Wired,349000
VortexSeries,GT6,Plastic,Linear,Wireless,679000
Ajazz,AK820GTS,Plastic,Linear,Wired,589000
Ajazz,AK820,Plastic,Linear,Wired,389000
Dareu,A98Pro,Plastic,Linear,Wireless,1249000
VGN,N75,Plastic,Tactile,Wireless,789000
NYK,MKN06,Plastic,Tactile,Wired,299000
Monsgeek,MG108B,Plastic,Tactile,Wired,1049000
Logitech,G512,Plastic,Clicky,Wired,682000
Noir,Z2,Aluminium,Tactile,Wireless,3099000
Skyloong,GK75,Aluminium,Tactile,Wireless,2999000
Logitech,MKMini,Plastic,Tactile,Wireless,2399000